                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0975,                 2.9081,                 1.2793,                0.70877,                0.63892,                0.71389,                0.55358,                 0.9296,                 1.9308,                 1.0117,             0.00023547,             0.00023547,             0.00023547
                      2,                0.81697,                 1.3348,                 1.0366,                0.87618,                0.87695,                0.90152,                0.70169,                0.86196,                 1.2373,                 1.0086,             0.00042659,             0.00042659,             0.00042659
                      3,                 0.7727,                 1.0273,                0.98594,                 0.9797,                0.94263,                0.97379,                0.77595,                0.79802,                0.92455,                 0.9503,              0.0005706,              0.0005706,              0.0005706
                      4,                0.72868,                 0.8956,                0.96468,                0.98221,                0.92772,                0.97754,                0.78142,                0.79929,                0.82625,                0.93582,             0.00050194,             0.00050194,             0.00050194
                      5,                0.69122,                0.79867,                0.94191,                0.97267,                0.95195,                0.96783,                0.78145,                0.78542,                0.76693,                0.93876,             0.00050194,             0.00050194,             0.00050194
                      6,                0.66131,                0.71263,                0.92573,                0.98318,                0.96474,                0.98424,                0.80046,                0.75868,                0.66122,                0.91929,             0.00043126,             0.00043126,             0.00043126
                      7,                0.63185,                0.65604,                0.91471,                0.98662,                0.96986,                0.98399,                0.78181,                0.80509,                0.63694,                0.94162,             0.00036057,             0.00036057,             0.00036057
                      8,                0.61107,                 0.6048,                0.90538,                0.98145,                0.97024,                0.98692,                0.80019,                0.76426,                0.59005,                0.91548,             0.00028988,             0.00028988,             0.00028988
                      9,                0.59355,                0.56995,                0.89576,                0.98625,                0.97456,                0.98872,                0.81126,                0.73825,                 0.5392,                0.90866,              0.0002192,              0.0002192,              0.0002192
                     10,                0.56815,                0.53432,                0.88865,                 0.9821,                0.97265,                0.98727,                 0.8154,                0.72713,                0.53836,                0.90225,             0.00014851,             0.00014851,             0.00014851
