                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 0.9024,                 2.2439,                 1.2358,                0.89309,                0.52226,                0.72113,                0.50908,                 1.5523,                 1.6544,                 1.3391,                      0,                      0,                      0
                      2,                0.98511,                 2.3791,                 1.4323,                0.90462,                0.52656,                0.73522,                0.50918,                 1.5399,                 1.6375,                 1.3264,             1.0722e-06,             1.0722e-06,             1.0722e-06
                      3,                 1.1785,                 3.0795,                  1.399,                0.90587,                0.53117,                0.72634,                0.50548,                 1.5609,                 1.6236,                 1.3287,             1.9088e-06,             1.9088e-06,             1.9088e-06
                      4,                0.92129,                 2.2635,                 1.2398,                0.90746,                0.53403,                 0.7146,                0.50521,                 1.5657,                 1.6124,                 1.3209,             2.5097e-06,             2.5097e-06,             2.5097e-06
                      5,                0.78406,                 1.8576,                 1.1876,                0.90752,                0.53878,                0.72972,                0.51396,                 1.5513,                 1.6051,                 1.3123,              2.875e-06,              2.875e-06,              2.875e-06
                      6,                 0.7662,                  1.687,                 1.2248,                0.90946,                 0.5411,                0.74935,                0.53455,                 1.5344,                 1.6204,                 1.3137,             3.0048e-06,             3.0048e-06,             3.0048e-06
                      7,                0.92552,                  2.005,                 1.3228,                 0.9097,                0.54258,                0.74964,                0.53455,                 1.5345,                 1.6323,                  1.311,             2.8988e-06,             2.8988e-06,             2.8988e-06
                      8,                 1.0814,                 2.1761,                 1.4776,                0.91312,                   0.55,                0.74758,                0.53842,                 1.5403,                 1.6428,                 1.3117,             2.5573e-06,             2.5573e-06,             2.5573e-06
                      9,                 1.0006,                 1.4909,                 1.2378,                0.91277,                   0.55,                 0.7471,                0.53812,                 1.5396,                 1.6574,                 1.3108,             1.9802e-06,             1.9802e-06,             1.9802e-06
                     10,                0.88258,                  1.583,                 1.2464,                0.91452,                   0.55,                0.74978,                0.54913,                 1.5421,                 1.6915,                 1.3153,             1.1674e-06,             1.1674e-06,             1.1674e-06
